NameToDisplay,Size,Brand,Marketing Group,Category,Stock(Unit1),SaleRate,MRP,Sale Rate Value,Product,Stock(Unit2),Stock,StockUnit,Unit1,Unit2,Stock Value,IsVirtual,Status,ProdConv1,SellLoose,StockLocation,Rate
1stStep TrackPant ,40,1ststep,GENTS WEAR,Lower-Hosiery <,2.0,350.0,360.0,700.0,TrackPant,2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep TrackPant ,42,1ststep,GENTS WEAR,Lower-Hosiery <,1.0,350.0,370.0,350.0,TrackPant,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep TrackPant ,38,1ststep,GENTS WEAR,Lower-Hosiery <,1.0,350.0,350.0,350.0,TrackPant,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
1stStep TrackPant ,44,1ststep,GENTS WEAR,Lower-Hosiery <,1.0,380.0,380.0,380.0,TrackPant,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
2Best Buddy 1145 30/32/34/36/38,32,2best buddy,BABA KIDS WEAR,Shirt-Full<,1.0,620.0,620.0,620.0,1145,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
2Best Buddy 1147 30/32/34/36/38,34,2best buddy,BABA KIDS WEAR,Shirt-Full<,1.0,550.0,550.0,550.0,1147,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
4Ever 7220 36/38,38,4ever,BABA KIDS WEAR,Shirt-Half <,1.0,525.0,525.0,525.0,7220,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
5River 551,free,5river,GIRLS WOOLEN,Cardigan<,1.0,430.0,430.0,430.0,551,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
5River plain,free,5river,GIRLS WOOLEN,Leggy<,1.0,275.0,275.0,275.0,plain,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Eleven 111(CH). ,32,7eleven,GIRLS WEAR,Capri-Denim <,1.0,405.0,580.0,405.0,111(CH).,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Eleven 514(CH) ,32,7eleven,GIRLS KIDS WEAR,Shorts-Denim <,1.0,440.0,585.0,440.0,514(CH),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Eleven 514(CH) ,40,7eleven,GIRLS KIDS WEAR,Shorts-Denim <,1.0,520.0,585.0,520.0,514(CH),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Square 1273(SA) 24/26/28/30/32/34,24,7square,BABA KIDS WEAR,T-Shirt-Half <,1.0,400.0,400.0,400.0,1273(SA),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Square 1372(SA) 24/26/28,24,7square,BABA KIDS WEAR,T-Shirt-Half <,1.0,230.0,230.0,230.0,1372(SA),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Square 2401 18/20/22/24/26/28/30/32/34,26,7square,BABA KIDS WEAR,T-Shirt-Half <,1.0,415.0,415.0,415.0,2401,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7Square Dollar-3 M/L/XL,XL,7square,GENTS WEAR,T-Shirt-Half <,1.0,335.0,335.0,335.0,Dollar-3,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
7th 2302(SA) ,32,7th,Baba Woolen Wear,Suede P/O<,1.0,415.0,415.0,415.0,2302(SA),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
999 5004(dc) ,40,999,GENTS WOOLEN ,SuedeP/O<>,1.0,1080.0,1080.0,1080.0,5004(dc),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
A Zone 2060(5) ,10,A zone,BABA KIDS WEAR,Sherwani,1.0,1525.0,1525.0,1525.0,2060(5),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
A Zone 2118(5) ,4,A zone,BABA KIDS WEAR,Sherwani,1.0,1425.0,1425.0,1425.0,2118(5),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
A Zone 2134(5) ,12,A zone,BABA KIDS WEAR,IndoWestern<,1.0,1560.0,1560.0,1560.0,2134(5),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
A Zone 2134(5) ,4,A zone,BABA KIDS WEAR,IndoWestern<,1.0,1240.0,1240.0,1240.0,2134(5),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
A-2 DE0(lax) ,4XL,A-2,GIRLS WEAR,TOP<,1.0,685.0,685.0,685.0,DE0(lax),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,18,Aanchal,GIRLS KIDS WEAR,Frock<>,2.0,1065.0,1065.0,2130.0,H-88,2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,16,Aanchal,GIRLS KIDS WEAR,Frock<>,2.0,1035.0,1035.0,2070.0,H-88,2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,22,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1125.0,1125.0,1125.0,H-88,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,20,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1095.0,1095.0,1095.0,H-88,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,26,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1185.0,1185.0,1185.0,H-88,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-88 ,24,Aanchal,GIRLS KIDS WEAR,Frock<>,2.0,1155.0,1155.0,2310.0,H-88,2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-93 ,24,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1140.0,1140.0,1140.0,H-93,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-93 ,18,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1050.0,1050.0,1050.0,H-93,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aanchal H-93 ,20,Aanchal,GIRLS KIDS WEAR,Frock<>,1.0,1080.0,1080.0,1080.0,H-93,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 1154 ,10,Aarambh,BABA KIDS WEAR,Pathani <,1.0,975.0,1075.0,975.0,1154,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 1154 ,1,Aarambh,BABA KIDS WEAR,Pathani <,1.0,705.0,805.0,705.0,1154,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 1154 ,9,Aarambh,BABA KIDS WEAR,Pathani <,1.0,945.0,1045.0,945.0,1154,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 1154 ,8,Aarambh,BABA KIDS WEAR,Pathani <,1.0,915.0,1015.0,915.0,1154,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 190 ,13,Aarambh,BABA KIDS WEAR,Pathani <,1.0,1125.0,1295.0,1125.0,190,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 204 ,15,Aarambh,BABA KIDS WEAR,Pathani <,1.0,1715.0,1915.0,1715.0,204,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarambh 204 ,13,Aarambh,BABA KIDS WEAR,Pathani <,1.0,1615.0,1815.0,1615.0,204,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 1718 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2125.0,2125.0,2125.0,1718,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 1718 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2015.0,2015.0,2015.0,1718,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 1718 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1965.0,1965.0,1965.0,1718,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2350.0,2620.0,2350.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1950.0,2170.0,1950.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2450.0,2740.0,2450.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2050.0,2280.0,2050.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2250.0,2500.0,2250.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1750.0,1950.0,1750.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1850.0,2060.0,1850.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3291 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2150.0,2390.0,2150.0,3291,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1960.0,2180.0,1960.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2260.0,2520.0,2260.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1760.0,1960.0,1760.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2060.0,2290.0,2060.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2160.0,2400.0,2160.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1560.0,1740.0,1560.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1660.0,1850.0,1660.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika 3376 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1860.0,2070.0,1860.0,3376,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,22,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2010.0,2230.0,2010.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,32,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2430.0,2700.0,2430.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,34,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2530.0,2820.0,2530.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,26,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2110.0,2330.0,2110.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,24,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2060.0,2280.0,2060.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,20,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,1960.0,2180.0,1960.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,30,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2330.0,2580.0,2330.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,36,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2630.0,2950.0,2630.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,28,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2230.0,2470.0,2230.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE007 ,38,Aarika,GIRLS KIDS WEAR,Lancha<>,1.0,2730.0,3070.0,2730.0,AE007,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,26,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1080.0,1200.0,1080.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,30,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1160.0,1310.0,1160.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,28,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1120.0,1260.0,1120.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,32,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1200.0,1360.0,1200.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,38,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1320.0,1490.0,1320.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,34,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1240.0,1400.0,1240.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,36,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1280.0,1450.0,1280.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE012 ,24,Aarika,GIRLS KIDS WEAR,Coord set <>,1.0,1040.0,1150.0,1040.0,AE012,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,38,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,2005.0,2330.0,2005.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,34,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,1805.0,2010.0,1805.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,30,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,1605.0,1780.0,1605.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,28,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,1505.0,1670.0,1505.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,36,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,1905.0,2120.0,1905.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE085 ,32,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1.0,1705.0,1890.0,1705.0,AE085,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1870.0,2070.0,1870.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1770.0,1970.0,1770.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2270.0,2540.0,2270.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2170.0,2420.0,2170.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1650.0,1930.0,1650.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,2070.0,2290.0,2070.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1600.0,1780.0,1600.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,22,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1550.0,1740.0,1550.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1970.0,2190.0,1970.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE090 ,20,Aarika,GIRLS KIDS WEAR,Gharara<>,1.0,1500.0,1670.0,1500.0,AE090,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,28,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1570.0,1740.0,1570.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,22,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1370.0,1530.0,1370.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,38,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,2070.0,2300.0,2070.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,32,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1770.0,1960.0,1770.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,34,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1870.0,2080.0,1870.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,30,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1670.0,1850.0,1670.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,26,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1470.0,1640.0,1470.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,20,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1320.0,1470.0,1320.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,24,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1420.0,1580.0,1420.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE104 ,36,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1970.0,2190.0,1970.0,AE104,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,28,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,1810.0,2010.0,1810.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,30,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,1910.0,2120.0,1910.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,32,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,2010.0,2230.0,2010.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,34,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,2110.0,2350.0,2110.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,36,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,2210.0,2460.0,2210.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE105 ,38,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1.0,2310.0,2580.0,2310.0,AE105,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,32,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1880.0,2090.0,1880.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,24,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1480.0,1650.0,1480.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,28,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1680.0,1870.0,1680.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,26,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1580.0,1760.0,1580.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,34,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1980.0,2200.0,1980.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,38,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,2180.0,2440.0,2180.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,36,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,2080.0,2320.0,2080.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarika AE110 ,30,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1.0,1780.0,1980.0,1780.0,AE110,1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarkys 95636(gg) ,34,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1.0,1465.0,1465.0,1465.0,95636(gg),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarkys 95636(gg) ,26,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,2.0,1345.0,1345.0,2690.0,95636(gg),2.0,2.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
Aarkys 95636(gg) ,16,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1.0,1195.0,1195.0,1195.0,95636(gg),1.0,1.0,Pack,Pack,PCS,0.0,False,C,1.0,False,Head Office,0.0
